Kanava,Discord,Matrix,Matrix huoneversio,Mattermost,PirateIRC,Telegram-ID,Telegram-linkki,Telegram-linkin omistaja,Telegram-omistaja
<kaikki>,https://piraattipuolue.fi/discord https://im.piraattinuoret.fi/discord,matrix:r/space.piraatit.fi:matrix.org?action=join (!ElEgwlkMvKtpLTcPXQ:matrix.org) & matrix:roomid/azROMLeGEMPdbdWnbk:matrix.org&via=pirateriot.net&via=matrix.org,"Pääavaruus: 9, Työrauha: 9",,,,,kutsulinkit ovat admin-kohtaisia https://core.telegram.org/bots/api#chat,
Aaltopiraatit,Piraattinuoret,,,,#aaltopiraatit,-1001090737719,,,
Akateemiset Piraatit,Piraattinuoret,,,,#akateemisetpiraatit,-1001185661848,,,
GlobalPirates,Piraatit,!TtWVeGGDmpLieTGJss:pirateriot.net,9,https://mattermost.globalpirates.net/globalpirates/channels/globalpirates,#globalpirates,-1001057453853,https://t.me/globalpirates,N/A,@mtoledo62
GlobalPirates for Ukraine,Piraatit,!FvJDNYVoYVsUXjAEvS:matrix.org,9,,#globalpirates-ukraine,-1001605055186,,,
Grafiikka,Piraatit,,,,#grafiikka,-1001133635073,,,
Hallituskokous,Piraatit,!QOFCqOxEUAAWiWAcYe:pirateriot.net (työrauha),9,,#hallituskokous,-1001172132698,,,Poistettu tunnus
Helsingin hallitus,Piraatit,!LPoKsqZmvuCdNKoCVO:pirateriot.net,9,,#hepihalko,-1001256466248,https://t.me/joinchat/Ikv7FkrkJ0iiBxqxvLBd7A,@AmindaEU,@NyosJonna
Helsinki,Piraatit,!SwtjuYYuaKPqBhQVNG:pirateriot.net,9,,#helsinki,-1001116081415,https://t.me/pp_helsinki,N/A,
Häme,Piraatit,,,,#hame,-1001374071099,https://t.me/pir_hame,N/A,@Tuomasinho
Kaakko,Piraatit,,,,#kaakko,-1001269290912,https://t.me/joinchat/Ikv7Fkun16AlW_u4QCKKZg,@AmindaEU,@PPFI_verkkopalvelut
Kampanjateltta,Piraatit,!OiQePoyfeMkUlsEqLQ:pirateriot.net,9,,#kampanjateltta,-1001187162908,https://t.me/PPFI_kampanjateltta,N/A,@PPFI_verkkopalvelut
Keski-Suomi,Piraatit,!xYcGHajzZRSLVIxNfX:matrix.org,9,,#keski-suomi,-1001121256763,,,
Lappi,Piraatit,,,,#lappi,,,,
Mediaseuranta,Piraatit,!JCJzjpjXXMCqdAJMNU:pirateriot.net (työrauha),9,,#mediaseuranta,-1001106763853,,,
Messi,Piraatit,"!uvsoCQjLdFbxWerkIB:matrix.org (pääsy koputtamalla, mutta työrauhan avaruudessa)",9,,#messi,-1001137586553,https://wiki.piraattipuolue.fi/Messi,N/A,Poistettu tunnus
Oulu,Piraatit,,,,#oulu,,,,
Piraatit,Piraatit,!vFKYLiSfVDsPmUKpms:pirateriot.net,9,,#piraatit,-1001102075786,https://t.me/Piraattipuolue,N/A,
PiraattiGitea loki,,!pHLtNBjXyMXSDuKDlg:matrix.org,9,,,,,,
Piraattinuoret,Piraattinuoret,!oxXNgAUeciRyYjzwpv:pirateriot.net,9,,#piraattinuoret,-1001117962134,https://t.me/piraattinuoret,N/A,Poistettu tunnus
Piraattinuorten hallitus,Piraatit,!JgYyoEKbILZiNTiXDZ:pirateriot.net (työrauha),9,,#pinu_hallitus,-1001142160911,,,@cadetgrey
Piraattinuorten käpistely,Piraattinuoret,!TiYSGlFGzdgJXBJWaw:pirateriot.net,9,,#piraattinuoret-kapistely,,,,
PiraattiVPN,Piraatit,,,,#piraattivpn,,,,
PirateIRC Helpdesk,Piraatit,!ZqKikMKyQkIvUAiBqh:pirateriot.net,9,,#opers,-1001246066172,https://t.me/joinchat/kpKpW1mGuAs3NTRk,@AmindaEU,@PPFI_verkkopalvelut
PirateIRC Oper-only Discussion,,,,,PRIVATE,-1001176463928,,vain oper-tiimi,Poistettu tunnus
Pirkanmaa,Piraatit,,,,#pirkanmaa,-1001301744548,https://t.me/joinchat/Mo3PcE2XC6QfILI9a51Vjg,@sthjs,@sthjs
PPFI English,Piraatit,!YUXdXqaAzfIWJHibBj:pirateriot.net,9,,#ppfi,-1001136883228,https://t.me/ppfin,N/A,
Puoluetoimisto,Piraatit,!gZgaiLaZzJcBgZRvjX:pirateriot.net (työrauha),9,,#puoluetoimisto,-1001193123558,,,
Puoluevaltuusto,Piraatit,!BTPEwkTgiCOCLQEMHh:pirateriot.net,9,,#puoluevaltuusto,-1001278396674,https://t.me/PPFI_Puoluevaltuusto,N/A,@PPFI_verkkopalvelut
Satakunta,Piraatit,,,,#satakunta,-1001159836952,,,
Sateenkaaripiraatit,Piraatit,!gMxsvhIGfOYXbPGbsE:pirateriot.net (työrauha),9,,#sateenkaaripiraatit,-1001125413651,https://t.me/joinchat/Ikv7FkMUcxNT-cwSMYnOpA,@AmindaEU,Poistettu tunnus
Savo-Karjala,Piraatit,,,,#savo-karjala,-1001223238042,https://t.me/joinchat/Ikv7FkjpIZqQxCEAR9e12w,@AmindaEU,@PPFI_verkkopalvelut
Suomi-Areena,Piraatit,,,,#suomiareena,-1001184954189,,,
Sääntöuudistus,,!RRYPBOlhfAyzDbYaFb:matrix.org (työrauha),9,,,-1001248403391,,,@necadam
Teknologia avoimeksi,,!VAOxXwcwGYFHjjUAzs:pirateriot.net,9,,#TeknologiaAvoimeksi,-1001369888217,https://t.me/joinchat/Ije95VGm1dnwgJlRJvjT4w,@MikkoHirvonen,@vhautaka
Testi,Piraatit & Piraattinuoret, !ZiOFnvWVTpzDYicmmK:pirateriot.net,10,https://mattermost.globalpirates.net/globalpirates/channels/globalpirates,#test,-1001144715238,https://t.me/joinchat/Ikv7FkQ69-ZpS1VdK9Zrtw,@AmindaEU,@AmindaEU
Tietoyhteiskuntaohjelman työryhmä,Piraatit,!bbNXnFHMyGJAOhxmUl:pirateriot.net (työrauha),9,,#tietoyhteiskuntaohjelmatyoryhma,-1001202110861,yksityinen?,N/A,@Plommer
Toiminta,Piraatit,!mZUEfTIrHJRgoEvCqZ:pirateriot.net (työrauha),9,,#toiminta,-1001103875498,,,Poistettu tunnus
Uusimaa,Piraatit,!YMlXHFFzuWuZLjdFSB:pirateriot.net,9,,#uusimaa,-1001096588605,,,
Vaasa,Piraatit,,,,#vaasa,,,,
Varsinais-Suomi,Piraatit,,,,#varsinais-suomi,-1001139315365,,,
Verkkopalveluiden helpdesk,Piraatit,!iMArzhfOsJPyCnapnj:pirateriot.net (työrauha),9,,#verkkopalvelut,-1001115432082,https://t.me/joinchat/Ikv7FkJ8JJIBOGdjvlwb1Q,@AmindaEU,Poistettu tunnus
Verkkopalvelutiimi,Piraatit,,,,#ppfi-verkkopalvelutiimi,-1001322933829,ei kutsulinkkiä,N/A,@PPFI_verkkopalvelut
